"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"4.5",12.83,30558.799999997,"complex","2",238,"100",1.2,"D~1.2"
"4.5",37.96,24983.200000003,"complex","1",314,"100",1.2,"D~1.2"
"4.5",60.71,15654.5,"complex","1",117,"100",1.2,"D~1.2"
"2.5",91.93,4679.59999999404,"complex","0.66667",117,"100",1.8,"D~1.8"
"5.5",67.33,6183.79999999702,"complex","0.5",117,"100",1,"D~1.0"
"4",49.74,6110,"complex","1",314,"100",1.4,"D~1.4"
"5.5",19,9121.09999999404,"complex","1",314,"100",1,"D~1.0"
"4.5",69.18,14260.799999997,"complex","0.5",238,"100",1.2,"D~1.2"
"2.5",78.7,5478.69999998808,"complex","0.66667",238,"100",1.8,"D~1.8"
"5.5",29.37,7958.59999999404,"complex","0.66667",238,"100",1,"D~1.0"
"2.5",74.47,4118.39999999106,"complex","1.5",314,"100",1.8,"D~1.8"
"4.5",3.44,7301.79999999702,"appealing","0.5",117,"100",1.2,"D~1.2"
"4",5.82,14374.3999999911,"appealing","1",314,"100",1.4,"D~1.4"
"2.5",0.13,4607.20000000298,"appealing","2",238,"100",1.8,"D~1.8"
"4",3.44,4278.5,"appealing","1",117,"100",1.4,"D~1.4"
"3.5",4.5,10830.700000003,"appealing","1.5",117,"100",1.6,"D~1.6"
"4.5",16.27,6782.90000000596,"appealing","1",238,"100",1.2,"D~1.2"
"4.5",98,6414.5,"appealing","2",314,"100",1.2,"D~1.2"
"3.5",2,7326.69999998808,"appealing","0.5",238,"100",1.6,"D~1.6"
"4",43.52,16087.5,"appealing","1.5",117,"100",1.4,"D~1.4"
"4.5",53,7766.79999999702,"appealing","2",117,"100",1.2,"D~1.2"
"4.5",45.37,13550.900000006,"appealing","1.5",238,"100",1.2,"D~1.2"
"3.5",9,12398.5,"appealing","0.66667",238,"100",1.6,"D~1.6"
"4",19.58,6478.90000000596,"appealing","1.5",314,"100",1.4,"D~1.4"
"4.5",70,7710.29999999702,"appealing","0.66667",314,"100",1.2,"D~1.2"
"4.5",99,8167.5,"appealing","1",117,"100",1.2,"D~1.2"
"4.5",56.75,9414.70000000298,"appealing","2",238,"100",1.2,"D~1.2"
"2.5",0,4182.69999998808,"appealing","0.5",314,"100",1.8,"D~1.8"
"2.5",0,5239.39999999106,"appealing","1.5",117,"100",1.8,"D~1.8"
"4",21.83,7542.70000000298,"appealing","2",238,"100",1.4,"D~1.4"
"2.5",2.12,4846.60000000894,"appealing","2",117,"100",1.8,"D~1.8"
"3.5",3.17,6606.69999998808,"appealing","0.5",314,"100",1.6,"D~1.6"
"2.5",0.4,3754.80000001192,"appealing","0.5",117,"100",1.8,"D~1.8"
"3.5",12,5507,"appealing","1",117,"100",1.6,"D~1.6"
"3.5",36.51,16663,"appealing","2",314,"100",1.6,"D~1.6"
"3.5",11.51,3610,"appealing","0.66667",314,"100",1.6,"D~1.6"
"5.5",100,4965.5,"appealing","0.66667",314,"100",1,"D~1.0"
"3.5",26.85,8685.70000000298,"appealing","1.5",314,"100",1.6,"D~1.6"
"4.5",99,7831.5,"appealing","0.66667",238,"100",1.2,"D~1.2"
"4.5",73.81,8296.70000000298,"appealing","0.5",314,"100",1.2,"D~1.2"
"4",66.14,12836.599999994,"appealing","2",117,"100",1.4,"D~1.4"
"2.5",0,5055,"appealing","1.5",238,"100",1.8,"D~1.8"
"5.5",100,5471.60000000894,"appealing","1.5",314,"100",1,"D~1.0"
"4",45.9,7949.90000000596,"appealing","2",314,"100",1.4,"D~1.4"
"4",47.49,20703.5,"appealing","1",238,"100",1.4,"D~1.4"
"4",11.38,5762.20000000298,"appealing","0.5",117,"100",1.4,"D~1.4"
"4.5",48.41,44014,"appealing","0.66667",117,"100",1.2,"D~1.2"
"5.5",100,5308.79999999702,"appealing","1",117,"100",1,"D~1.0"
"5.5",100,4662.79999999702,"appealing","0.66667",117,"100",1,"D~1.0"
"5.5",100,5742.29999999702,"appealing","1.5",238,"100",1,"D~1.0"
